2010,2019,2020,Country,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment ,Enterprise Conditions ,Market Access and Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
42,43,43,Croatia,28,54,47,142,51,84,32,48,39,56,47,31
43,45,44,Mauritius,41,37,37,38,33,43,52,60,56,66,67,113
44,44,45,Qatar,19,144,60,27,47,24,37,21,43,44,60,109
37,46,46,Hungary,38,81,77,54,46,83,43,31,37,48,41,35
47,47,47,Romania,37,47,55,134,42,68,45,42,61,69,64,39
49,49,48,Bulgaria,55,63,57,112,55,55,55,39,49,68,45,84
48,48,49,Panama,51,41,62,67,60,77,50,46,79,41,92,30
52,51,50,Montenegro,44,57,54,61,53,56,65,66,51,89,51,87
51,50,51,Seychelles,56,68,52,46,64,52,69,57,70,38,71,70
61,52,52,Serbia,34,73,80,85,70,91,63,63,48,75,44,98
64,53,53,Georgia,73,61,51,111,41,53,56,82,89,82,55,115
65,54,54,China,87,159,90,42,48,40,46,23,60,11,57,141
78,63,55,Armenia,63,74,67,74,49,51,79,88,73,62,58,91
50,58,56,Bahrain,105,156,105,21,36,37,42,59,40,52,61,133
75,61,57,Indonesia,77,100,58,6,62,57,70,58,104,97,88,68
53,60,58,Kuwait,65,116,96,35,75,65,57,41,35,54,78,129
57,55,59,North Macedonia,60,79,65,121,58,72,68,79,50,61,86,66
55,59,60,Trinidad and Tobago,82,39,61,86,87,118,62,62,53,74,69,114
63,57,61,Peru,90,50,69,150,68,67,74,61,99,53,65,26
80,66,62,Kazakhstan,81,131,83,29,59,76,80,55,54,72,37,104
59,56,63,Argentina,78,27,56,122,82,126,89,137,64,46,50,50
54,65,64,Thailand,127,118,99,23,54,70,53,33,72,35,74,119
62,67,65,Jamaica,124,32,53,108,67,58,75,104,67,50,81,142
58,62,66,Oman,40,150,92,34,61,50,48,81,65,60,79,147
67,64,67,Albania,70,78,70,146,77,80,59,105,82,77,54,56
60,68,68,Mexico,146,64,86,101,63,64,47,40,85,55,72,72
79,70,69,Belarus,69,134,114,120,91,89,71,52,42,79,30,82
56,69,70,Brazil,115,48,68,119,73,121,91,89,62,63,91,12
83,72,71,Saudi Arabia,107,161,93,43,66,38,44,54,59,65,63,134
76,76,72,Dominican Republic,119,45,88,60,81,93,66,68,86,73,96,51
90,81,73,Vietnam,97,136,104,13,108,75,60,56,88,49,68,96
77,71,74,Colombia,153,69,71,102,71,90,67,72,83,36,76,28
71,74,75,Cabo Verde,43,34,45,56,113,94,117,115,102,85,98,57
84,75,76,Russia,140,143,101,99,78,87,61,43,58,101,21,77
74,73,77,Bosnia and Herzegovina,48,87,112,76,84,146,82,77,47,88,70,111
95,91,78,Azerbaijan,89,148,110,68,50,39,78,83,68,57,73,136
87,78,79,Paraguay,72,75,94,62,85,135,97,74,76,84,106,27
96,83,80,Moldova,75,95,81,125,80,102,72,101,80,98,59,140
66,79,81,Suriname,59,52,100,58,147,111,87,94,77,107,102,14
72,80,82,Botswana,76,58,43,103,72,79,101,50,111,122,100,132
85,82,83,Philippines,149,76,79,31,79,78,73,45,112,102,84,73
98,77,84,Sri Lanka,130,80,76,33,104,62,93,112,109,47,66,60
97,88,85,Mongolia,62,65,64,52,101,103,118,95,105,100,56,116
68,86,86,Jordan,88,121,72,106,52,49,76,128,63,80,97,151
70,84,87,South Africa,138,38,48,59,69,60,83,69,107,130,108,146
81,87,88,Namibia,58,49,44,84,83,71,96,110,117,125,118,69
101,85,89,Ecuador,79,70,108,138,96,130,86,126,93,67,75,43
102,89,90,Kyrgyzstan,71,103,98,66,94,116,112,92,90,76,80,65
93,90,91,Guyana,91,62,74,77,97,109,103,109,84,119,93,54
89,96,92,Ukraine,144,85,73,147,119,74,77,91,69,115,38,110
82,100,93,El Salvador,128,66,75,91,89,92,81,90,94,93,109,153
73,92,94,Turkey,147,154,118,141,57,59,54,70,52,70,89,97
86,93,95,Belize,80,56,95,135,128,123,94,119,87,91,99,49
100,94,96,Morocco,68,119,91,164,65,61,58,97,95,103,113,126
109,102,97,Uzbekistan,52,147,136,20,90,124,105,78,98,43,85,157
99,101,98,São Tomé and Príncipe,46,43,78,94,132,110,110,98,116,105,114,74
69,95,99,Tunisia,125,99,66,163,95,101,90,103,78,94,95,143
94,97,100,Ghana,96,53,59,73,118,69,113,132,115,121,105,100
110,98,101,India,139,106,49,78,74,47,85,73,122,113,115,162
92,99,102,Guatemala,121,89,117,83,92,99,84,75,114,99,121,92
91,105,103,Cuba,100,153,137,36,120,159,108,96,81,28,42,95
108,103,104,Rwanda,123,114,50,63,39,45,100,80,150,110,128,112
88,104,105,Lebanon,136,112,119,152,98,88,92,147,57,92,62,120
106,106,106,Bolivia,86,83,130,151,110,150,111,121,101,108,94,34
103,107,107,Honduras,129,102,133,71,93,113,95,93,110,90,120,80
107,108,108,Algeria,53,142,115,129,134,132,102,134,71,83,82,152
105,113,109,Turkmenistan,64,162,155,14,122,149,121,71,74,58,83,150
113,111,110,Senegal,109,59,63,48,107,85,116,123,121,123,147,83
104,109,111,Nicaragua,110,113,145,70,105,141,98,114,106,78,117,48
120,110,112,Tajikistan,83,151,139,24,117,105,128,133,100,71,90,131
121,112,113,Kenya,145,94,84,49,76,63,109,108,133,112,107,138
129,114,114,Nepal,85,71,89,97,123,122,134,85,128,116,116,145
116,115,115,Laos,54,155,134,90,136,112,104,86,120,117,103,53
114,117,116,The Gambia,92,97,82,39,100,86,135,154,123,143,134,63
122,121,117,Tanzania,104,109,97,104,116,114,125,113,134,124,129,78
119,120,118,Cambodia,102,126,154,75,124,145,99,67,129,95,125,85
118,122,119,Djibouti,84,141,127,110,99,96,107,76,125,118,140,159
126,119,120,Iran,131,165,138,80,130,152,106,117,75,81,77,155
112,124,121,Egypt,148,160,146,123,103,81,88,127,91,109,101,156
115,116,122,Gabon,117,110,124,137,152,143,130,130,108,134,104,59
111,118,123,Zambia,93,115,102,109,102,97,139,155,147,128,130,37
145,129,124,Côte d’Ivoire,126,93,103,131,114,107,119,100,132,154,145,79
132,123,125,Bangladesh,142,117,135,57,139,106,120,102,118,111,123,149
128,128,126,Benin,61,72,85,159,138,73,136,135,146,147,143,123
152,127,127,Myanmar,155,123,131,45,156,98,124,107,130,106,110,58
134,125,128,Comoros,57,90,149,115,150,127,137,146,127,129,142,94
124,126,129,Papua New Guinea,113,60,107,132,115,115,132,136,159,145,146,81
130,130,130,Lesotho,99,77,109,133,129,138,129,84,135,164,122,166
127,132,131,Equatorial Guinea,95,152,151,47,135,151,126,99,113,159,126,36
123,131,132,Malawi,108,88,87,157,111,108,145,149,154,127,148,86
136,134,133,Uganda,133,120,122,124,86,95,131,122,142,139,138,125
138,133,134,Eswatini,98,145,140,144,109,136,123,111,124,149,124,122
139,135,135,Burkina Faso,134,67,106,100,131,128,154,129,149,136,155,99
135,138,136,Madagascar,118,84,121,82,125,131,146,138,162,138,139,88
142,136,137,Iraq,163,129,143,107,144,120,114,120,92,120,119,165
146,139,138,Pakistan,152,124,120,96,112,100,115,140,119,126,137,167
153,143,139,Guinea,120,105,128,88,121,82,153,143,152,160,159,67
157,140,140,Togo,103,108,132,162,126,125,147,118,140,151,133,137
140,137,141,Liberia,101,98,111,65,137,119,161,151,145,158,160,64
137,142,142,Mozambique,122,91,126,95,141,144,149,162,153,144,156,61
158,141,143,Zimbabwe,106,140,147,130,143,153,142,145,138,137,112,139
141,146,144,Nigeria,151,104,129,93,106,117,140,156,137,163,135,130
143,144,145,Sierra Leone,112,82,116,69,153,139,160,159,156,162,151,93
117,145,146,Venezuela,150,127,167,143,163,167,133,163,97,96,87,62
148,147,147,Guinea-Bissau,47,101,144,116,159,147,156,150,158,155,162,76
133,150,148,Mali,157,86,113,128,145,134,150,124,136,150,161,108
125,148,149,Libya,162,135,160,98,166,165,127,106,96,104,111,160
151,149,150,Ethiopia,137,138,125,113,151,140,155,116,148,131,150,127
144,152,151,Cameroon,158,128,148,118,142,137,138,125,131,157,131,101
149,153,152,Congo,132,122,152,149,149,156,151,152,139,142,132,75
147,151,153,Niger,141,96,123,50,127,133,164,139,160,148,166,128
150,156,154,Mauritania,94,133,153,89,158,155,162,144,126,140,157,164
154,154,155,Haiti,111,107,157,155,161,166,152,141,151,146,136,154
155,155,156,Angola,114,130,141,145,167,157,148,158,144,152,158,121
159,158,157,Burundi,156,157,150,148,148,104,157,160,164,135,144,124
131,157,158,Syria,165,167,161,166,140,162,122,131,103,114,127,163
156,159,159,Sudan*,161,158,162,136,133,142,141,166,141,132,141,158
162,160,160,Eritrea,135,166,164,158,155,160,158,157,161,133,152,117
163,162,161,Democratic Republic of Congo,160,125,158,154,165,148,165,161,165,153,149,102
161,163,162,Afghanistan,166,137,142,167,154,129,159,142,155,156,153,161
166,161,163,Somalia,159,149,163,126,146,161,143,165,157,161,163,144
167,164,164,Chad,143,132,159,160,162,164,166,153,163,167,165,103
160,166,165,Yemen,164,164,166,153,164,158,163,167,143,141,154,148
165,165,166,Central African Republic,154,139,156,161,160,163,167,148,167,166,164,107
164,167,167,South Sudan*,167,163,165,165,157,154,144,164,166,165,167,135
